user_id,name,email,phone,address,membership_level,created_at
user_001,이민준,user_001@daum.net,010-5012-4657,인천 남동구 18동 457호,platinum,2024-12-31T04:31:45.065753Z
user_002,김도윤,user_002@naver.com,010-4811-9279,서울 마포구 18동 1819호,silver,2025-11-07T04:31:45.065753Z
user_003,임지후,user_003@gmail.com,010-3615-7924,광주 서구 5동 982호,gold,2025-04-08T04:31:45.065753Z
user_004,이지우,user_004@gmail.com,010-6881-6635,대전 유성구 15동 2297호,bronze,2025-10-02T04:31:45.065753Z
user_005,이지유,user_005@daum.net,010-6925-4150,부산 해운대구 8동 1286호,bronze,2025-05-14T04:31:45.065753Z
user_006,권예준,user_006@kakao.com,010-5554-8428,광주 광산구 12동 1556호,silver,2025-07-27T04:31:45.065753Z
user_007,신영민,user_007@gmail.com,010-3803-9751,대구 달서구 15동 1655호,gold,2025-07-10T04:31:45.065753Z
user_008,신지유,user_008@naver.com,010-6313-1916,대구 수성구 11동 1744호,gold,2024-12-31T04:31:45.065753Z
user_009,최영민,user_009@hanmail.net,010-6155-4483,세종 새롬동 15동 686호,gold,2025-10-21T04:31:45.065753Z
user_010,최현우,user_010@hanmail.net,010-9830-5304,울산 동구 13동 1583호,silver,2025-09-13T04:31:45.065753Z
user_011,장하윤,user_011@gmail.com,010-1771-2796,인천 연수구 14동 2543호,bronze,2025-09-14T04:31:45.065753Z
user_012,조채원,user_012@kakao.com,010-9669-5119,서울 서초구 18동 1193호,gold,2025-05-10T04:31:45.065753Z
user_013,정서현,user_013@naver.com,010-8433-1053,대전 중구 6동 2180호,bronze,2025-09-27T04:31:45.065753Z
user_014,정승현,user_014@hanmail.net,010-4258-3504,광주 광산구 18동 2273호,bronze,2025-01-07T04:31:45.065753Z
user_015,강하윤,user_015@gmail.com,010-2832-6947,대전 유성구 2동 1087호,bronze,2025-01-21T04:31:45.065753Z
user_016,신하윤,user_016@gmail.com,010-9727-3060,인천 계양구 18동 777호,gold,2025-10-11T04:31:45.065753Z
user_017,권채원,user_017@kakao.com,010-4470-9835,대구 북구 13동 1630호,platinum,2025-02-26T04:31:45.065753Z
user_018,윤예준,user_018@naver.com,010-4681-2049,광주 광산구 19동 2369호,silver,2025-03-04T04:31:45.065753Z
user_019,최민준,user_019@gmail.com,010-1964-4750,부산 해운대구 11동 391호,silver,2025-01-26T04:31:45.065753Z
user_020,한하윤,user_020@naver.com,010-9834-3167,세종 아름동 16동 1768호,silver,2025-07-04T04:31:45.065753Z
user_021,이수빈,user_021@kakao.com,010-6804-7939,울산 중구 2동 504호,bronze,2025-10-06T04:31:45.065753Z
user_022,신서연,user_022@gmail.com,010-5073-4139,대구 중구 5동 1829호,silver,2025-05-01T04:31:45.065753Z
user_023,윤주원,user_023@gmail.com,010-8260-2604,서울 강남구 3동 1069호,silver,2025-07-04T04:31:45.065753Z
user_024,윤하윤,user_024@naver.com,010-7570-1960,인천 계양구 1동 1700호,gold,2025-04-29T04:31:45.065753Z
user_025,정서현,user_025@hanmail.net,010-8973-3536,대구 북구 7동 340호,bronze,2025-04-05T04:31:45.065753Z
user_026,김서준,user_026@hanmail.net,010-8811-9238,인천 남동구 17동 429호,silver,2025-06-16T04:31:45.065753Z
user_027,임도윤,user_027@naver.com,010-7615-2964,대구 수성구 20동 436호,platinum,2025-10-19T04:31:45.065753Z
user_028,임민서,user_028@daum.net,010-5272-4346,광주 광산구 9동 1722호,silver,2025-01-29T04:31:45.065753Z
user_029,정하은,user_029@daum.net,010-2188-1152,세종 한솔동 19동 510호,bronze,2024-12-28T04:31:45.065753Z
user_030,최민서,user_030@daum.net,010-3170-6718,부산 수영구 12동 1268호,silver,2025-02-21T04:31:45.065753Z
user_031,권지유,user_031@daum.net,010-9666-1128,대전 중구 4동 651호,gold,2025-04-13T04:31:45.065753Z
user_032,황예준,user_032@hanmail.net,010-3546-5462,대전 중구 7동 1505호,silver,2025-09-25T04:31:45.065753Z
user_033,권지후,user_033@hanmail.net,010-9004-5114,서울 서초구 14동 1234호,bronze,2025-01-03T04:31:45.065753Z
user_034,강성민,user_034@naver.com,010-5291-3647,세종 한솔동 14동 2398호,bronze,2025-11-22T04:31:45.065753Z
user_035,이태현,user_035@naver.com,010-9938-1590,광주 북구 18동 707호,platinum,2025-09-27T04:31:45.065753Z
user_036,김준서,user_036@daum.net,010-1653-6862,대구 달서구 4동 1549호,platinum,2025-09-19T04:31:45.065753Z
user_037,신시우,user_037@naver.com,010-3662-3900,울산 남구 6동 1461호,platinum,2025-01-10T04:31:45.065753Z
user_038,정하준,user_038@gmail.com,010-7267-1634,세종 아름동 7동 1986호,gold,2025-07-19T04:31:45.065753Z
user_039,권재현,user_039@naver.com,010-4652-1387,대구 중구 11동 1242호,bronze,2025-06-20T04:31:45.065753Z
user_040,강지민,user_040@hanmail.net,010-7548-9785,광주 광산구 4동 1170호,silver,2025-07-04T04:31:45.065753Z
user_041,정서준,user_041@gmail.com,010-8119-6663,광주 서구 20동 2195호,bronze,2025-01-30T04:31:45.065753Z
user_042,황윤서,user_042@naver.com,010-5173-1727,울산 남구 17동 2306호,silver,2025-05-10T04:31:45.065753Z
user_043,조도윤,user_043@daum.net,010-6143-3041,대전 중구 10동 1773호,gold,2025-05-21T04:31:45.065753Z
user_044,신준서,user_044@hanmail.net,010-3085-4143,울산 동구 13동 813호,gold,2025-05-01T04:31:45.065753Z
user_045,장승현,user_045@gmail.com,010-5978-5700,대구 중구 19동 2585호,gold,2025-04-30T04:31:45.065753Z
user_046,윤하은,user_046@naver.com,010-9375-8752,인천 남동구 10동 2212호,gold,2025-03-30T04:31:45.065753Z
user_047,권성민,user_047@naver.com,010-6085-4680,대구 달서구 1동 290호,silver,2025-10-07T04:31:45.065753Z
user_048,임정훈,user_048@gmail.com,010-8461-7790,대구 중구 16동 1737호,silver,2025-03-25T04:31:45.065753Z
user_049,한영호,user_049@gmail.com,010-2746-7965,대구 달서구 17동 2003호,bronze,2025-09-09T04:31:45.065753Z
user_050,최영민,user_050@gmail.com,010-8478-3184,세종 한솔동 17동 2390호,gold,2025-02-11T04:31:45.065753Z
user_051,임승현,user_051@hanmail.net,010-7991-9976,세종 아름동 16동 1944호,gold,2025-04-11T04:31:45.065753Z
user_052,권지민,user_052@daum.net,010-9540-8939,대구 북구 15동 418호,gold,2025-07-20T04:31:45.065753Z
user_053,정서연,user_053@daum.net,010-9849-2320,인천 연수구 8동 1669호,silver,2025-07-26T04:31:45.065753Z
user_054,이서현,user_054@kakao.com,010-6421-9890,세종 새롬동 2동 948호,platinum,2025-08-06T04:31:45.065753Z
user_055,황성민,user_055@hanmail.net,010-1320-7232,세종 아름동 12동 1324호,platinum,2025-05-08T04:31:45.065753Z
user_056,장현우,user_056@hanmail.net,010-4613-8999,대구 북구 14동 2090호,bronze,2025-04-23T04:31:45.065753Z
user_057,강수빈,user_057@kakao.com,010-3704-8657,인천 남동구 13동 2525호,bronze,2025-05-08T04:31:45.065753Z
user_058,한서현,user_058@naver.com,010-8564-3977,서울 용산구 13동 1441호,silver,2025-10-12T04:31:45.065753Z
user_059,강서연,user_059@kakao.com,010-5558-7906,대전 유성구 16동 180호,bronze,2025-04-05T04:31:45.065753Z
user_060,최지민,user_060@gmail.com,010-1659-1508,대구 달서구 1동 725호,silver,2025-05-28T04:31:45.065753Z
user_061,윤수빈,user_061@gmail.com,010-4571-8619,대전 서구 6동 2582호,bronze,2025-09-20T04:31:45.065753Z
user_062,정예준,user_062@hanmail.net,010-1420-6111,울산 중구 7동 412호,silver,2025-09-01T04:31:45.065753Z
user_063,신성민,user_063@daum.net,010-2983-1672,광주 북구 14동 1618호,bronze,2025-10-02T04:31:45.065753Z
user_064,한서연,user_064@gmail.com,010-7882-9031,부산 동래구 12동 1984호,silver,2025-03-09T04:31:45.065753Z
user_065,박현우,user_065@hanmail.net,010-5425-9817,세종 새롬동 14동 2527호,gold,2025-04-15T04:31:45.065753Z
user_066,권주원,user_066@gmail.com,010-5569-8385,대구 중구 19동 1653호,gold,2025-06-11T04:31:45.065753Z
user_067,윤정훈,user_067@daum.net,010-3979-8988,대구 북구 9동 1495호,gold,2025-11-09T04:31:45.065753Z
user_068,신태현,user_068@daum.net,010-1166-9464,대구 수성구 8동 1765호,platinum,2025-01-22T04:31:45.065753Z
user_069,서주원,user_069@kakao.com,010-9041-8342,서울 서초구 10동 1008호,platinum,2025-02-12T04:31:45.065753Z
user_070,정수빈,user_070@hanmail.net,010-7046-8753,광주 서구 18동 1455호,gold,2025-07-22T04:31:45.065753Z
user_071,정준서,user_071@daum.net,010-4777-2976,대구 북구 4동 2295호,silver,2025-04-05T04:31:45.065753Z
user_072,최현우,user_072@kakao.com,010-5530-9595,대전 유성구 7동 1314호,silver,2025-08-17T04:31:45.065753Z
user_073,박준서,user_073@gmail.com,010-9751-3073,대전 유성구 2동 2367호,gold,2025-05-23T04:31:45.065753Z
user_074,한정훈,user_074@kakao.com,010-2680-1200,대전 서구 16동 1905호,gold,2025-09-20T04:31:45.065753Z
user_075,김지후,user_075@kakao.com,010-2869-2070,울산 중구 3동 2464호,bronze,2025-08-21T04:31:45.065753Z
user_076,박재현,user_076@hanmail.net,010-5978-2395,대구 수성구 18동 1805호,silver,2025-09-07T04:31:45.065753Z
user_077,조하은,user_077@kakao.com,010-5871-8025,대전 중구 20동 347호,bronze,2025-03-01T04:31:45.065753Z
user_078,한지호,user_078@daum.net,010-2330-3573,대구 달서구 18동 408호,silver,2025-08-09T04:31:45.065753Z
user_079,조하은,user_079@hanmail.net,010-8699-5771,서울 마포구 10동 1259호,platinum,2025-11-22T04:31:45.065753Z
user_080,한주원,user_080@daum.net,010-4241-7965,부산 남구 8동 711호,gold,2025-10-18T04:31:45.065753Z
user_081,이서준,user_081@naver.com,010-6039-5728,세종 아름동 15동 1346호,platinum,2025-09-12T04:31:45.065753Z
user_082,장지유,user_082@kakao.com,010-8172-2317,서울 강서구 11동 2573호,gold,2025-07-07T04:31:45.065753Z
user_083,이주원,user_083@hanmail.net,010-1339-5415,서울 송파구 16동 2226호,platinum,2025-11-10T04:31:45.065753Z
user_084,박윤서,user_084@kakao.com,010-9056-2494,세종 새롬동 14동 1466호,gold,2025-07-04T04:31:45.065753Z
user_085,권하준,user_085@daum.net,010-7744-9117,대전 중구 13동 2354호,bronze,2025-10-01T04:31:45.065753Z
user_086,이서연,user_086@daum.net,010-6296-2899,울산 동구 1동 2323호,platinum,2025-04-05T04:31:45.065753Z
user_087,김지호,user_087@hanmail.net,010-6927-9167,세종 아름동 7동 1194호,silver,2025-04-26T04:31:45.065753Z
user_088,윤태현,user_088@kakao.com,010-2989-1472,대구 달서구 10동 2357호,bronze,2025-06-29T04:31:45.065753Z
user_089,조도윤,user_089@naver.com,010-2858-8560,부산 수영구 16동 1296호,gold,2025-02-14T04:31:45.065753Z
user_090,권하윤,user_090@kakao.com,010-4993-8483,인천 계양구 7동 2556호,silver,2025-04-25T04:31:45.065753Z
user_091,정성민,user_091@kakao.com,010-6568-9318,대전 유성구 10동 1323호,platinum,2025-10-19T04:31:45.065753Z
user_092,윤지유,user_092@kakao.com,010-6654-6446,울산 중구 11동 873호,silver,2025-09-08T04:31:45.065753Z
user_093,조주원,user_093@kakao.com,010-1715-6213,세종 한솔동 13동 1682호,silver,2025-02-04T04:31:45.065753Z
user_094,김시우,user_094@hanmail.net,010-6439-2644,세종 아름동 17동 1972호,bronze,2025-03-15T04:31:45.065753Z
user_095,조정훈,user_095@naver.com,010-2225-8692,대전 서구 20동 1729호,bronze,2025-09-11T04:31:45.065753Z
user_096,권수빈,user_096@hanmail.net,010-7226-6188,세종 한솔동 2동 381호,silver,2025-06-08T04:31:45.065753Z
user_097,한영민,user_097@daum.net,010-4727-2480,울산 남구 4동 1918호,silver,2025-01-04T04:31:45.065753Z
user_098,황민준,user_098@gmail.com,010-6314-1919,대전 서구 12동 1865호,silver,2025-06-23T04:31:45.065753Z
user_099,장서현,user_099@hanmail.net,010-3950-3785,인천 남동구 20동 1667호,silver,2025-07-21T04:31:45.065753Z
user_100,황윤서,user_100@naver.com,010-4804-8555,대전 서구 9동 139호,platinum,2025-03-14T04:31:45.065753Z
